Size,Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,NB_Acc,NB_Precision,NB_Recall,NB_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F
55000,49500.0,5500.0,0.6329090909090909,0.6329090909090909,0.6329090909090909,0.6329090909090909,0.49163636363636365,0.49163636363636365,0.49163636363636365,0.49163636363636365,0.35345454545454547,0.35345454545454547,0.35345454545454547,0.35345454545454547
110000,99000.0,11000.0,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.494,0.494,0.494,0.494,0.503,0.503,0.503,0.503
165000,148500.0,16500.0,0.6317575757575757,0.6317575757575757,0.6317575757575757,0.6317575757575757,0.48872727272727273,0.48872727272727273,0.48872727272727273,0.48872727272727273,0.32496969696969696,0.32496969696969696,0.32496969696969696,0.32496969696969696
220000,198000.0,22000.0,0.6356818181818182,0.6356818181818182,0.6356818181818182,0.6356818181818182,0.4925909090909091,0.4925909090909091,0.4925909090909091,0.4925909090909091,0.614,0.614,0.614,0.614
275000,247500.0,27500.0,0.6347636363636364,0.6347636363636364,0.6347636363636364,0.6347636363636364,0.4890181818181818,0.4890181818181818,0.4890181818181818,0.4890181818181818,0.29752727272727275,0.29752727272727275,0.29752727272727275,0.29752727272727275
330000,297000.0,33000.0,0.6351515151515151,0.6351515151515151,0.6351515151515151,0.6351515151515151,0.4938181818181818,0.4938181818181818,0.4938181818181818,0.4938181818181818,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667
385000,346500.0,38500.0,0.6376623376623377,0.6376623376623377,0.6376623376623377,0.6376623376623377,0.49264935064935067,0.49264935064935067,0.49264935064935067,0.49264935064935067,0.42763636363636365,0.42763636363636365,0.42763636363636365,0.42763636363636365
440000,396000.0,44000.0,0.6397045454545455,0.6397045454545455,0.6397045454545455,0.6397045454545455,0.4923181818181818,0.4923181818181818,0.4923181818181818,0.4923181818181818,0.5615227272727272,0.5615227272727272,0.5615227272727272,0.5615227272727272
495000,445500.0,49500.0,0.6353333333333333,0.6353333333333333,0.6353333333333333,0.6353333333333333,0.4893939393939394,0.4893939393939394,0.4893939393939394,0.4893939393939394,0.5554343434343434,0.5554343434343434,0.5554343434343434,0.5554343434343434
550000,495000.0,55000.0,0.6342909090909091,0.6342909090909091,0.6342909090909091,0.6342909090909091,0.4919454545454545,0.4919454545454545,0.4919454545454545,0.4919454545454545,0.2751636363636364,0.2751636363636364,0.2751636363636364,0.2751636363636364
605000,544500.0,60500.0,0.6348760330578512,0.6348760330578512,0.6348760330578512,0.6348760330578512,0.49105785123966944,0.49105785123966944,0.49105785123966944,0.49105785123966944,0.2977190082644628,0.2977190082644628,0.2977190082644628,0.2977190082644628
660000,594000.0,66000.0,0.633090909090909,0.633090909090909,0.633090909090909,0.633090909090909,0.4931969696969697,0.4931969696969697,0.4931969696969697,0.4931969696969697,0.5652272727272727,0.5652272727272727,0.5652272727272727,0.5652272727272727
715000,643500.0,71500.0,0.6346293706293706,0.6346293706293706,0.6346293706293706,0.6346293706293706,0.4942657342657343,0.4942657342657343,0.4942657342657343,0.4942657342657343,0.5772307692307692,0.5772307692307692,0.5772307692307692,0.5772307692307692


