Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
5500,4950.0,550.0,0.24545454567128963,0.24545454545454545,0.24545454545454545,0.24545454545454545
11000,9900.0,1100.0,0.2609090909361839,0.2609090909090909,0.2609090909090909,0.2609090909090909
16500,14850.0,1650.0,0.24545454559904156,0.24545454545454545,0.24545454545454545,0.24545454545454545
22000,19800.0,2200.0,0.2754545455087315,0.27545454545454545,0.27545454545454545,0.27545454545454545
27500,24750.0,2750.0,0.2538181819482283,0.25381818181818183,0.25381818181818183,0.25381818181818183
33000,29700.0,3300.0,0.2312121212121212,0.2312121212121212,0.2312121212121212,0.2312121212121212
38500,34650.0,3850.0,0.2464935065089882,0.2464935064935065,0.2464935064935065,0.2464935064935065
44000,39600.0,4400.0,0.23454545454545456,0.23454545454545456,0.23454545454545456,0.23454545454545456
49500,44550.0,4950.0,0.22888888891297157,0.2288888888888889,0.2288888888888889,0.2288888888888889
