Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
55000,49500.0,5500.0,0.32327272722937844,0.32327272727272727,0.32327272727272727,0.32327272727272727
110000,99000.0,11000.0,0.3531818181818182,0.3531818181818182,0.3531818181818182,0.3531818181818182
165000,148500.0,16500.0,0.4368484848340352,0.23933333333333334,0.4825858487107418,0.3199773123202204
220000,198000.0,22000.0,0.4365,0.22490909090909092,0.49604010025062656,0.30949179046129793
275000,247500.0,27500.0,0.4294181818095121,0.3518909090909091,0.46773647832181353,0.40162692730706173
330000,297000.0,33000.0,0.4194242424242424,0.051515151515151514,0.5068574836016696,0.09352478406777796
385000,346500.0,38500.0,0.4685194805194805,0.4685194805194805,0.4685194805194805,0.4685194805194805
440000,396000.0,44000.0,0.4679090909090909,0.4679090909090909,0.4679090909090909,0.4679090909090909
495000,445500.0,49500.0,0.4731919192063688,0.4731919191919192,0.4731919191919192,0.4731919191919192
550000,495000.0,55000.0,0.4719818181861531,0.47198181818181817,0.47198181818181817,0.47198181818181817
605000,544500.0,60500.0,0.4755537190122053,0.4755537190082645,0.4755537190082645,0.4755537190082645
660000,594000.0,66000.0,0.4703181818181818,0.4703181818181818,0.4703181818181818,0.4703181818181818
715000,643500.0,71500.0,0.47160839160839163,0.47160839160839163,0.47160839160839163,0.47160839160839163
