Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
55000,49500.0,5500.0,0.49509090900421143,0.4950909090909091,0.4950909090909091,0.4950909090909091
110000,99000.0,11000.0,0.5418181818615306,0.5418181818181819,0.5418181818181819,0.5418181818181819
165000,148500.0,16500.0,0.5278787878643383,0.5278787878787878,0.5278787878787878,0.5278787878787878
220000,198000.0,22000.0,0.5263636363636364,0.5263636363636364,0.5263636363636364,0.5263636363636364
275000,247500.0,27500.0,0.5271999999913303,0.5272,0.5272,0.5272
330000,297000.0,33000.0,0.5271515151515151,0.5271515151515151,0.5271515151515151,0.5271515151515151
385000,346500.0,38500.0,0.5257662337662338,0.5257662337662338,0.5257662337662338,0.5257662337662338
440000,396000.0,44000.0,0.5318863636363637,0.5318863636363637,0.5318863636363637,0.5318863636363637
495000,445500.0,49500.0,0.5161010100865605,0.5161010101010101,0.5161010101010101,0.5161010101010101
550000,495000.0,55000.0,0.6212727272640575,0.6212727272727273,0.6212727272727273,0.6212727272727273
605000,544500.0,60500.0,0.5643305785123967,0.5643305785123967,0.5643305785123967,0.5643305785123967
660000,594000.0,66000.0,0.6338030303030303,0.6338030303030303,0.6338030303030303,0.6338030303030303
715000,643500.0,71500.0,0.5733846153829482,0.5733846153846154,0.5733846153846154,0.5733846153846154
