Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
55000,49500.0,5500.0,0.5394545454545454,0.5394545454545454,0.5394545454545454,0.5394545454545454
110000,99000.0,11000.0,0.5577272727055983,0.5577272727272727,0.5577272727272727,0.5577272727272727
165000,148500.0,16500.0,0.5538787878787879,0.5538787878787879,0.5538787878787879,0.5538787878787879
220000,198000.0,22000.0,0.5894545454545455,0.5894545454545455,0.5894545454545455,0.5894545454545455
275000,247500.0,27500.0,0.6127272727272727,0.6127272727272727,0.6127272727272727,0.6127272727272727
330000,297000.0,33000.0,0.6377575757575757,0.6377575757575757,0.6377575757575757,0.6377575757575757
385000,346500.0,38500.0,0.6728571428571428,0.6728571428571428,0.6728571428571428,0.6728571428571428
440000,396000.0,44000.0,0.7022954545454545,0.7022954545454545,0.7022954545454545,0.7022954545454545
495000,445500.0,49500.0,0.7178181818037322,0.7178181818181818,0.7178181818181818,0.7178181818181818
550000,495000.0,55000.0,0.7349090909004211,0.734909090909091,0.734909090909091,0.7349090909090911
605000,544500.0,60500.0,0.7761983470995564,0.7761983471074381,0.7761983471074381,0.7761983471074382
660000,594000.0,66000.0,0.779439393939394,0.779439393939394,0.779439393939394,0.779439393939394
715000,643500.0,71500.0,0.816447552444218,0.8164475524475524,0.8164475524475524,0.8164475524475525

