Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
55000,49500.0,5500.0,0.8492727271860296,0.8492727272727273,0.8492727272727273,0.8492727272727273

110000,99000.0,11000.0,0.8881818182251671,0.8881818181818182,0.8881818181818182,0.8881818181818182

165000,148500.0,16500.0,0.9143636363780859,0.9143636363636364,0.9143636363636364,0.9143636363636364

220000,198000.0,22000.0,0.919,0.919,0.919,0.919

275000,247500.0,27500.0,0.9285818181818182,0.9285818181818182,0.9285818181818182,0.9285818181818182

330000,297000.0,33000.0,0.934030303030303,0.934030303030303,0.934030303030303,0.934030303030303

385000,346500.0,38500.0,0.9355064935064935,0.9355064935064935,0.9355064935064935,0.9355064935064935

440000,396000.0,44000.0,0.9377727272727273,0.9377727272727273,0.9377727272727273,0.9377727272727273

495000,445500.0,49500.0,0.94240404041849,0.9424040404040404,0.9424040404040404,0.9424040404040404

550000,495000.0,55000.0,0.942509090909091,0.942509090909091,0.942509090909091,0.942509090909091

605000,544500.0,60500.0,0.9455702479338843,0.9455702479338843,0.9455702479338843,0.9455702479338843

660000,594000.0,66000.0,0.9451212121212121,0.9451212121212121,0.9451212121212121,0.9451212121212121

715000,643500.0,71500.0,0.945972027972028,0.945972027972028,0.945972027972028,0.945972027972028
