Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
5500,4950.0,550.0,0.24909090914509513,0.24363636363636362,0.25,0.2467771639042357
11000,9900.0,1100.0,0.27090909090909093,0.2545454545454545,0.2676864244741874,0.260950605778192
16500,14850.0,1650.0,0.3133333334055814,0.0048484848484848485,0.38095238095238093,0.00957510472770796
22000,19800.0,2200.0,0.31772727272727275,0.003181818181818182,0.5833333333333334,0.006329113924050634
27500,24750.0,2750.0,0.30800000006502326,0.0047272727272727275,0.52,0.00936936936936937
33000,29700.0,3300.0,0.3112121212121212,0.0027272727272727275,0.5625,0.005428226779252112
38500,34650.0,3850.0,0.32311688313236486,0.0025974025974025974,0.9090909090909091,0.00518000518000518
44000,39600.0,4400.0,0.3059090909090909,0.004545454545454545,0.5555555555555556,0.009017132551848512
49500,44550.0,4950.0,0.3014141414382241,0.00202020202020202,0.625,0.004027386226339105

