Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
55000,49500.0,5500.0,0.30018181813846934,0.018,0.4479638009049774,0.0346093340325118
110000,99000.0,11000.0,0.36563636365803803,0.05118181818181818,0.6615746180963572,0.09501307906505779
165000,148500.0,16500.0,0.525818181810957,0.19963636363636364,0.6700569568755086,0.30762047067613
220000,198000.0,22000.0,0.5611818181818182,0.3705909090909091,0.6673487762953262,0.4765467457696467
275000,247500.0,27500.0,0.6392363636450334,0.5093818181818182,0.7248641655886158,0.5983128670581953
330000,297000.0,33000.0,0.6861515151515152,0.5867575757575758,0.7560128064969546,0.6607179417184194
385000,346500.0,38500.0,0.5588311688311688,0.33064935064935064,0.6773077946262304,0.44436687320010465
440000,396000.0,44000.0,0.6776136363636364,0.5990681818181818,0.7362437852633931,0.6606100097741912
495000,445500.0,49500.0,0.718484848489665,0.6399191919191919,0.7784713688867043,0.7024282071183058
550000,495000.0,55000.0,0.7544,0.7041272727272727,0.7951013201387891,0.746854117851254
605000,544500.0,60500.0,0.7591570247973293,0.708793388429752,0.7970335675253708,0.7503280782488494
660000,594000.0,66000.0,0.7769393939393939,0.7366060606060606,0.8119853690311158,0.772461131457898
715000,643500.0,71500.0,0.7842937062970409,0.7402517482517482,0.8193823051319762,0.7778096182813474

