Size,Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,NB_Acc,NB_Precision,NB_Recall,NB_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F
5500,4950.0,550.0,0.7018181818181818,0.7191780821917808,0.7191780821917808,0.7191780821917809,0.5018181818181818,0.0821917808219178,0.8,0.14906832298136644,0.5327272727272727,0.1404109589041096,0.8723404255319149,0.24188790560471976
11000,9900.0,1100.0,0.6945454545454546,0.7041522491349481,0.7115384615384616,0.7078260869565218,0.509090909090909,0.0847750865051903,0.8166666666666667,0.15360501567398116,0.5654545454545454,0.18858131487889274,0.923728813559322,0.31321839080459773
16500,14850.0,1650.0,0.723030303030303,0.7413600891861761,0.7471910112359551,0.744264129826525,0.49696969696969695,0.09587513935340022,0.819047619047619,0.1716566866267465,0.5709090909090909,0.23411371237458195,0.9090909090909091,0.37234042553191493
22000,19800.0,2200.0,0.7159090909090909,0.7371090448013525,0.7352445193929174,0.7361756015196286,0.49636363636363634,0.08368554522400676,0.8048780487804879,0.15160796324655434,0.5318181818181819,0.1437024513947591,0.9090909090909091,0.24817518248175188
27500,24750.0,2750.0,0.7407272727272727,0.7585034013605442,0.756958587915818,0.7577302072714915,0.5050909090909091,0.08707482993197278,0.8707482993197279,0.15831787260358687,0.7243636363636363,0.6306122448979592,0.8117338003502627,0.7098009188361409
33000,29700.0,3300.0,0.7333333333333333,0.773094688221709,0.7332968236582694,0.7526700393479483,0.5096969696969696,0.08429561200923788,0.8202247191011236,0.15287958115183248,0.656969696969697,0.941108545034642,0.6127819548872181,0.7422586520947176
38500,34650.0,3850.0,0.721038961038961,0.7508565834557024,0.7308242020009529,0.7407049734427814,0.5096103896103896,0.09397944199706314,0.8384279475982532,0.16901408450704228,0.5353246753246753,0.9970631424375918,0.5332460732984293,0.694866109500256
44000,39600.0,4400.0,0.7434090909090909,0.764731182795699,0.7533898305084745,0.759018143009605,0.5002272727272727,0.07053763440860215,0.8118811881188119,0.12979817965967552,0.7372727272727273,0.7109677419354838,0.7735142723444081,0.7409233527566115
49500,44550.0,4950.0,0.7303030303030303,0.7593144560357675,0.7473414008067474,0.7532803548327481,0.4907070707070707,0.077123695976155,0.8247011952191236,0.14105621805792162,0.5482828282828283,0.9996274217585693,0.5455469703131354,0.7058668771375953
