Size,Train,Test,LR_Acc,LR_Precision,LR_Recall,LR_F,NB_Acc,NB_Precision,NB_Recall,NB_F,SVM_Acc,SVM_Precision,SVM_Recall,SVM_F
5500,4950.0,550.0,0.5709090909090909,0.5709090909090909,0.5709090909090909,0.5709090909090909,0.4890909090909091,0.4890909090909091,0.4890909090909091,0.4890909090909091,0.4781818181818182,0.4781818181818182,0.4781818181818182,0.4781818181818182
11000,9900.0,1100.0,0.6245454545454545,0.6245454545454545,0.6245454545454545,0.6245454545454545,0.4890909090909091,0.4890909090909091,0.4890909090909091,0.4890909090909091,0.6054545454545455,0.6054545454545455,0.6054545454545455,0.6054545454545455
16500,14850.0,1650.0,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.47575757575757577,0.47575757575757577,0.47575757575757577,0.47575757575757577,0.5975757575757575,0.5975757575757575,0.5975757575757575,0.5975757575757575
22000,19800.0,2200.0,0.6477272727272727,0.6477272727272727,0.6477272727272727,0.6477272727272727,0.4822727272727273,0.4822727272727273,0.4822727272727273,0.4822727272727273,0.5822727272727273,0.5822727272727273,0.5822727272727273,0.5822727272727273
27500,24750.0,2750.0,0.632,0.632,0.632,0.632,0.49163636363636365,0.49163636363636365,0.49163636363636365,0.49163636363636365,0.4469090909090909,0.4469090909090909,0.4469090909090909,0.4469090909090909
33000,29700.0,3300.0,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.6381818181818182,0.49666666666666665,0.49666666666666665,0.49666666666666665,0.49666666666666665,0.5727272727272728,0.5727272727272728,0.5727272727272728,0.5727272727272728
38500,34650.0,3850.0,0.6220779220779221,0.6220779220779221,0.6220779220779221,0.6220779220779221,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.4727272727272727,0.44727272727272727,0.44727272727272727,0.44727272727272727,0.44727272727272727
44000,39600.0,4400.0,0.615,0.615,0.615,0.615,0.48159090909090907,0.48159090909090907,0.48159090909090907,0.48159090909090907,0.56,0.56,0.56,0.56
49500,44550.0,4950.0,0.6357575757575757,0.6357575757575757,0.6357575757575757,0.6357575757575757,0.4917171717171717,0.4917171717171717,0.4917171717171717,0.4917171717171717,0.5468686868686868,0.5468686868686868,0.5468686868686868,0.5468686868686868
