Size,Train,Test,LSTM_Acc,LSTM_Precision,LSTM_Recall,LSTM_F
55000,49500.0,5500.0,0.2634545455195687,0.26345454545454544,0.2635024549918167,0.2634784980452768
110000,99000.0,11000.0,0.25972727271643553,0.25972727272727275,0.25972727272727275,0.25972727272727275
165000,148500.0,16500.0,0.2835151515151515,0.2835151515151515,0.2835151515151515,0.2835151515151515
220000,198000.0,22000.0,0.2858636363636364,0.2858636363636364,0.2858636363636364,0.2858636363636364
275000,247500.0,27500.0,0.2846181818181818,0.2846181818181818,0.2846181818181818,0.2846181818181818
330000,297000.0,33000.0,0.2758787878787879,0.2758787878787879,0.2758787878787879,0.2758787878787879
385000,346500.0,38500.0,0.287012987012987,0.287012987012987,0.287012987012987,0.287012987012987
440000,396000.0,44000.0,0.28404545454545455,0.28404545454545455,0.28404545454545455,0.28404545454545455
495000,445500.0,49500.0,0.2876565656577698,0.28765656565656567,0.28765656565656567,0.28765656565656567
550000,495000.0,55000.0,0.2872,0.2872,0.2872,0.2872
605000,544500.0,60500.0,0.28479338842975205,0.28479338842975205,0.28479338842975205,0.28479338842975205
660000,594000.0,66000.0,0.2872878787878788,0.2872878787878788,0.2872878787878788,0.2872878787878788
715000,643500.0,71500.0,0.286349650350484,0.2863496503496504,0.2863496503496504,0.2863496503496504

