Size,Train,Test,CNN_Acc,CNN_Precision,CNN_Recall,CNN_F
5500,4950.0,550.0,0.44727272738109936,0.04181818181818182,0.6388888888888888,0.07849829351535836
11000,9900.0,1100.0,0.5372727273269133,0.3,0.6534653465346535,0.4112149532710281
16500,14850.0,1650.0,0.6321212121573362,0.4806060606060606,0.7411214953271028,0.5830882352941176
22000,19800.0,2200.0,0.7327272727272728,0.6540909090909091,0.7824904839586732,0.7125526120326813
27500,24750.0,2750.0,0.7236363634629683,0.6465454545454545,0.7791411042944786,0.7066772655007948
33000,29700.0,3300.0,0.7681818181818182,0.7118181818181818,0.8130841121495327,0.7590887057682986
38500,34650.0,3850.0,0.7864935065554334,0.7488311688311688,0.8130287648054145,0.7796106003244998
44000,39600.0,4400.0,0.7904545454545454,0.7515909090909091,0.8212068537372734,0.7848581939005578
49500,44550.0,4950.0,0.8179797979557153,0.7818181818181819,0.8453473132372215,0.8123425692695214

