Size,Train,Test,GRU_Acc,GRU_Precision,GRU_Recall,GRU_F
5500,4950.0,550.0,0.5127272725105285,0.5127272727272727,0.5127272727272727,0.5127272727272727
11000,9900.0,1100.0,0.501818182034926,0.5018181818181818,0.5018181818181818,0.5018181818181818
16500,14850.0,1650.0,0.5072727272727273,0.5072727272727273,0.5072727272727273,0.5072727272727273
22000,19800.0,2200.0,0.5163636364720084,0.5163636363636364,0.5163636363636364,0.5163636363636364
27500,24750.0,2750.0,0.514545454567129,0.5145454545454545,0.5145454545454545,0.5145454545454545
33000,29700.0,3300.0,0.4987878787878788,0.4987878787878788,0.4987878787878788,0.4987878787878788
38500,34650.0,3850.0,0.5057142857452491,0.5057142857142857,0.5057142857142857,0.5057142857142857
44000,39600.0,4400.0,0.5088636363636364,0.5088636363636364,0.5088636363636364,0.5088636363636364
49500,44550.0,4950.0,0.5050505051227531,0.5050505050505051,0.5050505050505051,0.5050505050505051
